"Ag (ppm)","As (ppm)","Cu (ppm)","Mo (ppm)","Pb (ppm)","Sb (ppm)","Tl (ppm)","Zn (ppm)","Co (ppm)","Ni (ppm)","Type"
0.196974742586732,218.838344484996,54.0944979876767,31.8935831053671,34.0978715360309,2.34332187114407,0.784164636065597,2.65694726728387,29.6544865618801,247.773704120812,"Sedimentary"
5.61037790847892,1976.13012906576,619.086299047961,12.1892474786311,546.856538434818,684.494696862475,2.18768928440294,263.797786880472,316.96894373834,946.085526135431,"Sedimentary"
3.81196559242893,971.986755382259,897.074691902471,47.4816839612742,234.503628223658,47.1967411602791,3.55416230976406,96.9596039970706,50.181698744455,703.780878145654,"Sedimentary"
0.146204482495509,291.19482571507,29.5611165156232,80.9697672683019,15.2528045591986,2.62087026626722,2.80716963505629,2.3720295283841,5.22102494139617,19.7783286459673,"Sedimentary"
0.255070089682079,50.1186548225057,91.7190442238325,25.4744128085928,39.1840919792021,3.19668225790654,1.04453405840452,3.06639454320544,62.5211446413781,443.284209769925,"Sedimentary"
7.386798986839,523.263152817713,600.676268335622,12.9477629707516,747.349609887272,66.7684192760433,8.4763884276787,27.4024859110476,392.638659528822,1923.06491740249,"Sedimentary"
5.91102530577383,3748.00721489609,15.7977528840358,28.623833610543,256.576886047428,95.9679612716612,1.12551852363832,0.381136505007694,1812.10696006091,249.823408573542,"Sedimentary"
2.38959235260545,16458.5001516245,153.634681846738,2.06515863660013,684.678215950253,96.7949744263629,2.9987703632085,4.62481766963271,1483.11475841459,4084.57254013523,"Sedimentary"
0.245216467958003,78.1894415747009,50.7489944892787,24.2090913105096,184.497564726862,2.9931396581657,1.80363526181103,57.5622628293557,221.076566477908,37.8391976172252,"Sedimentary"
1.72036699560791,132.913767051001,1811.14072975393,0.243,384.295717505683,12.1962746078298,2.03899539629556,14.6212545828926,150.865045176811,511.096881955871,"Sedimentary"
18.5459253143732,5.23293425677911,124.558961702723,2.48415865898537,219.220937527995,14.9378011045665,2.2416086403294,24.8336840167134,10.2730772625645,675.66589936342,"Sedimentary"
0.0768363907434039,15.8969367472507,7.94750342924953,0.146373818856732,15.2046521051585,0.551248711849266,0.131579460602933,11.7433350709105,54.6919545525874,18.4410104951496,"Sedimentary"
0.467070443366819,90.5982465392715,223.34552196429,15.5624451533845,228.334513586076,5.12515303771803,4.65193387298411,64.826102369567,12.3610920826328,21.8665253364555,"Sedimentary"
0.225398198570412,68.2659620871902,386.595202105815,0.992068877891132,97.5331928628271,7.41888152547327,0.423851129311117,1.4805,49.7089359513875,222.350774183266,"Sedimentary"
3.14307064098733,470.761665543677,685.127869467663,24.5595683687803,238.736822451847,33.1276903013373,2.71656839700634,92.6567390172929,37.2584594835349,768.602244622506,"Sedimentary"
9.66895305550445,1151.58297939821,259.082934339325,46.7291265075545,267.928984315667,9.5180592300403,99.3910856502043,82.3335847445929,46.9991886859158,231.426201776882,"Sedimentary"
